key,en
EMPTY_TABLE_MESSAGE,(Please select variables to display statistic table)
ERROR,Error
ERROR_COMPUTING_LABEL,Error while executing indicator
ERROR_IN_DATA_TITLE,Error(s) in data
ERROR_REPORTING_LABEL,Error during report generation
ERROR_TABLE_COLNAME_1,Trip ID
ERROR_TABLE_COLNAME_2,Vessel Registration
ERROR_TABLE_COLNAME_3,Issue Level
ERROR_TABLE_COLNAME_4,Issue Domain
ERROR_TABLE_COLNAME_5,Description
ERROR_TABLE_DATA_FILENAME,errors_
EXECUTE_INDICATOR_LABEL,Execute indicator
EXECUTE_R_SCRIPT_LABEL,Execute R script...
EXPORT_RESULTS_STAGING_LABEL,Export result to 'staging' area...
FILL_SELECTOR_LABEL,Fill by
FILTER_NO_VALUE,No item selected
FILTER_SELECTOR_LABEL,Filter '%s' items :
FISHING_GEAR_LABEL,Fishing gear
FISHING_ZONE_COORDINATES_NOT_AVAILABLE,fishing zone coordinates not available
FISHING_ZONE_LABEL,Fishing zone
GEAR_TYPE_LABEL,Gear type
GENERATE_DOWNLOAD_REPORT_LABEL,Generate & download report
GENERATE_REPORT_FILE,Download report file
GENERATE_SQL_FILE,Generate SQL file
GLOBAL_QUANTITY_LABEL,Global quantity
GLOBAL_VESSEL_LABEL,Number of vessels
GLOBAL_VESSEL_PLOT_UNIT,vessels
GLOBAL_VESSEL_PLOT_XLAB,Time
GLOBAL_VESSEL_PLOT_YLAB,Number of vessels
GRANU_LABEL_MONTH,Month
GRANU_LABEL_WEEK,Week
GRANU_LABEL_YEAR,Year
GRAPH_TABPANEL_TITLE,Graph
GROSS TONNAGE,Gross Tonnage
HISTORY_CATCHES_COLNAME_1,Year
HISTORY_CATCHES_COLNAME_10,Quantity
HISTORY_CATCHES_COLNAME_11,Value
HISTORY_CATCHES_COLNAME_2,Departure Datetime
HISTORY_CATCHES_COLNAME_3,Return Datetime
HISTORY_CATCHES_COLNAME_4,Days At Sea
HISTORY_CATCHES_COLNAME_5,Crew
HISTORY_CATCHES_COLNAME_6,Greater Fishing Area
HISTORY_CATCHES_COLNAME_7,Beach Name
HISTORY_CATCHES_COLNAME_8,Fishing Method
HISTORY_CATCHES_COLNAME_9,Species Description
HISTORY_CATCHES_DATA_EXPORT_FILENAME,vessel_catch_history_%s
HISTORY_CATCHES_PDF_TITLE,Vessel '%s' (%s) Catch history (as of %s)
HISTORY_DATA_EXPORT_FILENAME,vessel_historical_characteristics_%s
HISTORY_PDF_TITLE,Vessel '%s' (%s) Historical Characteristics
HISTORY_TABLE_COLNAME_1,Type
HISTORY_TABLE_COLNAME_2,Description
HISTORY_TABLE_COLNAME_3,Old Value
HISTORY_TABLE_COLNAME_4,New Value
HISTORY_TABLE_COLNAME_5,Change Date
HOME_CALIPSEO_SUBTITLE,Access and compute statistics over the Calipseo platform
HOME_CALIPSEO_TITLE,Calipseo Shiny
HOME_PORT,Home port: 
HOVER_ON_POINT_LABEL,Hover on a point!
IMAGE_SOURCE,Image source
INDIVIDUAL_DOB,Birth Date
INDIVIDUAL_EDUCATIONAL_LEVEL,Educational level
INDIVIDUAL_ENT_DOC_NUMBER,Entity Document Number
INDIVIDUAL_ENT_DOC_TYPE,Entity Document Type
INDIVIDUAL_FISHER_STATUS_ACTIVE,Fisher active
INDIVIDUAL_FISHER_STATUS_INACTIVE,Fisher non active
INDIVIDUAL_GENDER,Gender
INDIVIDUAL_INFO_TITLE,Individual information
INDIVIDUAL_LIST_LABEL_CAPTAIN,Captain
INDIVIDUAL_LIST_LABEL_HOLDER_FISHING_ID,Holder of fishing Id
INDIVIDUAL_LIST_LABEL_HOLDER_FISHING_LICENSE,Holder of fishing License
INDIVIDUAL_LIST_LABEL_OWNER,Owner
INDIVIDUAL_LIST_SUBTITLE,Access information on individuals
INDIVIDUAL_LIST_TABLE_COLNAME_DETAILS,
INDIVIDUAL_LIST_TABLE_COLNAME_FIRST_NAME,First Name
INDIVIDUAL_LIST_TABLE_COLNAME_FISHERID,Fisher ID
INDIVIDUAL_LIST_TABLE_COLNAME_GENDER,Gender
INDIVIDUAL_LIST_TABLE_COLNAME_GENDER_UNDEFINED,Undefined
INDIVIDUAL_LIST_TABLE_COLNAME_LAST_NAME,Last Name
INDIVIDUAL_LIST_TABLE_COLNAME_MIDDLE_NAME,Middle Name
INDIVIDUAL_LIST_TABLE_COLNAME_SALUTATIONS,Salutations
INDIVIDUAL_LIST_TABLE_COLNAME_SITE,Site
INDIVIDUAL_LIST_TABLE_COLNAME_STATUS,Status
INDIVIDUAL_LIST_TABLE_COLNAME_STATUS_ACTIVE,Active
